Method,Env,Dim,Scale,Type,Seed,Score,Source
raw_noisy,halfcheetah-medium-v2,40,2.0,project,1,39.462419129307555,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,10,2.0,project,1,39.51841946035717,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,4.0,project,1,39.0643593102807,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,4.0,project,1,40.038003311293316,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,1.0,project,1,40.27946711078551,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,1.0,project,1,41.268788073003925,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,4.0,project,1,40.18624190537608,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,1.0,project,1,40.59957531535058,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,2.0,project,1,40.56221924748704,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,4.0,project,1,40.73645876666113,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,2.0,project,1,38.90066185904422,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,1.0,project,1,40.41766148886704,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,2.0,project,1,40.74868923727708,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,2.0,project,1,40.12291397982424,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,4.0,project,1,40.10098524035986,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,10,4.0,project,1,40.75726089143548,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,20,1.0,project,1,40.53037416650589,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,1.0,project,1,40.03835794448819,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,40,4.0,project,1,40.63960140729998,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,40,1.0,project,1,39.40379933863966,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,2.0,project,1,40.6292373052951,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,20,4.0,project,1,40.55970326821021,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
